Group Name,Item Name,Class Of Insulation,Covering ,Material Designation-1,Material Designation-2,Size In Mm,Spool Size,Wire Type
AL (FG),AL0.44MPMEDPT-25,MP (AWW),,0.44,SWG,0.44,PT-25,ALUMINIUM WINDING 
AL (FG),AL0.44MPMEDPT-60,MP (AWW),,0.44,MM,0.44,PT-60,ALUMINIUM WINDING 
AL (FG),AL0.47MPMEDPT-25,MP (AWW),,0.47,SWG,0.47,PT-25,ALUMINIUM WINDING 
AL (FG),AL0.47MPMEDPT-60,MP (AWW),,0.47,MM,0.47,PT-60,ALUMINIUM WINDING 
AL (FG),AL0.48MPMEDPT-25,MP (AWW),,0.48,SWG,0.48,PT-25,ALUMINIUM WINDING 
AL (FG),AL0.54MPMEDPT-25,MP (AWW),,0.54,SWG,0.54,PT-25,ALUMINIUM WINDING 
AL (FG),AL0.54MPMEDPT-60,MP (AWW),,0.54,MM,0.54,PT-60,ALUMINIUM WINDING 
AL (FG),AL0.54MPMEDPT-90,MP (AWW),,0.54,MM,0.54,PT-90,ALUMINIUM WINDING 
AL (FG),AL0.65DCMEDPT-90,DC (AWW),,0.65,SWG,0.65,PT-90,ALUMINIUM WINDING 
Balco Circular,AL0.75MPMEDPT-90,MP (AWW),,0.75,SWG,0.75,PT-90,ALUMINIUM WINDING 
Balco Circular,AL0.91MPMPT-90,MP (AWW),,0.9,MM,0.914,PT-90,ALUMINIUM WINDING 
AL (FG),AL1.02DCMEDPT-25,DC (AWW),,1.02,MM,1.02,PT-25,ALUMINIUM WINDING 
Hindalco,AL1.59MPMEDM266,MP (CWW),,1.59,MM,1,M-266,
AL (FG),AL1.8DCFINEM-266,DC (AWW),,1.8,MM,1.8,M-266,ALUMINIUM WINDING 
AL (FG),AL13HCMEDM-266,HC (AWW),,13,SWG,2.3370000000000002,M-266,ALUMINIUM WINDING 
AL (FG),AL14HCMEDM-266,HC (AWW),,14,SWG,2.032,M-266,ALUMINIUM WINDING 
AL (FG),AL14MPMEDM-266,MP (AWW),MED,14,SWG,2.032,M-266,
AL (FG),AL15SSFINEM-266,SS (AWW),,15,SWG,1.829,M-266,ALUMINIUM WINDING 
AL (FG),AL16.5MPMEDM-266,MP (AWW),,16.5,SWG,1.524,M-266,ALUMINIUM WINDING 
Balco Circular,AL16HCMEDPT-25,HC (AWW),MED,16,SWG,,PT-25,ALUMINIUM WINDING 
AL (FG),AL16MPMEDM-266,MP (AWW),,16,SWG,1.6259999999999999,M-266,ALUMINIUM WINDING 
Balco Circular,AL17HCMEDPT-25,HC (AWW),MED,17,SWG,,PT-25,ALUMINIUM WINDING 
AL (FG),AL17MPMEDM-266,MP (AWW),,17,SWG,1.4219999999999999,M-266,ALUMINIUM WINDING 
AL (FG),AL18.5MPMEDPT-25,MP (AWW),,18,SWG,1.117,PT-25,ALUMINIUM WINDING 
AL (FG),AL18MPMEDM-266,MP (AWW),,18,SWG,1.2190000000000001,M-266,ALUMINIUM WINDING 
AL (FG),AL19.5MPMEDPT-25,MP (AWW),,19.5,SWG,0.964,PT-25,ALUMINIUM WINDING 
AL (FG),AL19HCMEDPT-25,HC (AWW),,19,SWG,1.016,PT-25,ALUMINIUM WINDING 
AL (FG),AL19MPMEDPT-25,MP (AWW),,19,SWG,1.016,PT-25,ALUMINIUM WINDING 
AL (FG),AL1BAREPT25,BARE,,1B,MM,1,PT-25,
AL (FG),AL20.5MPMEDPT-25,MP (AWW),,20,SWG,0.862,PT-25,ALUMINIUM WINDING 
Balco Circular,AL20MPMEDPT-25,MP (AWW),,20,SWG,0.914,PT-25,ALUMINIUM WINDING 
AL (FG),AL21.5MPMEDPT-25,MP (AWW),,21.5,SWG,0.762,PT-25,ALUMINIUM WINDING 
Balco Circular,AL21MPMEDPT-25,MP (AWW),,21,SWG,0.812,PT-25,ALUMINIUM WINDING 
AL (FG),AL22.5HCMEDPT-25,HC (AWW),,22.5,SWG,0.66,PT-25,ALUMINIUM WINDING 
Balco Circular,AL22DCMEDPT-25,DC (AWW),,22,SWG,0.710,PT-25,ALUMINIUM WINDING 
Monthly Aluminium,AL22DCMEDPT-90,DC (AWW),,22,AWG,0.710,PT-90,ALUMINIUM WINDING 
AL (FG),AL22HCMEDPT-25,HC (AWW),,22,SWG,0.710,PT-25,ALUMINIUM WINDING 
Balco Circular,AL22MPMEDPT-25,MP (AWW),MED,22,SWG,0.710,PT-25,ALUMINIUM WINDING 
AL (FG),AL23.5HCMEDPT-25,HC (AWW),,23.5,SWG,0.583,PT-25,ALUMINIUM WINDING 
AL (FG),AL23HCMEDPT-25,HC (AWW),,23,SWG,0.61,PT-25,ALUMINIUM WINDING 
AL (FG),AL23MPMEDPT-25,MP (AWW),,23,SWG,0.61,PT-25,ALUMINIUM WINDING 
AL (FG),AL24.5MPMEDPT-25,MP (AWW),,24.5,SWG,0.533,PT-25,ALUMINIUM WINDING 
AL (FG),AL24DCMEDPT-25,DC (AWW),,24,SWG,0.559,PT-25,ALUMINIUM WINDING 
AL (FG),AL24HCMEDPT-25,HC (AWW),,24,SWG,0.559,PT-25,ALUMINIUM WINDING 
Hindalco,AL24MPMEDPT-25,MP (AWW),,24,SWG,0.559,PT-25,ALUMINIUM WINDING 
AL (FG),AL25DCMEDPT-25,DC (AWW),MED,25,SWG,0.588,PT-25,ALUMINIUM WINDING 
Hindalco,AL25HCMEDPT-25,HC (AWW),,25,SWG,0.508,PT-25,ALUMINIUM WINDING 
Hindalco,AL25MPMEDPT-25,MP (AWW),,25,SWG,0.508,PT-25,ALUMINIUM WINDING 
AL (FG),AL26DCMEDPT-25,DC (AWW),,26,SWG,0.457,PT-25,ALUMINIUM WINDING 
Group Name,Item Name,Class Of Insulation,Covering ,Material Designation-1,Material Designation-2,Size In Mm,Spool Size,Wire Type
Hindalco,AL26MPMEDPT-25,MP (AWW),,26,SWG,0.457,PT-25,ALUMINIUM WINDING 
AL (FG),AL27DCMEDPT25,DC (AWW),,,,,,ALUMINIUM WINDING 
Hindalco,AL27MPMEDPT-25,MP (AWW),,27,SWG,0.415,PT-25,ALUMINIUM WINDING 
Hindalco,AL27MPMEDPT25,MP (AWW),,,,,,ALUMINIUM WINDING 
AL (FG),AL28DCMEDPT25,DC (AWW),,,,,,ALUMINIUM WINDING 
Hindalco,AL28MPMEDPT-10,MP (AWW),,28,SWG,0.375,PT-10,ALUMINIUM WINDING 
Hindalco,AL28MPMEDPT-25,MP (AWW),,28,SWG,0.375,PT-25,ALUMINIUM WINDING 
Balco Circular,AL29MPMEDPT-10,MP (AWW),,29,SWG,0.344,PT-10,ALUMINIUM WINDING 
Hindalco,AL29MPMEDPT-25,MP (AWW),,29,SWG,0.344,PT-25,ALUMINIUM WINDING 
Hindalco,AL30MPMEDPT-10,MP (AWW),,30,SWG,0.315,PT-10,ALUMINIUM WINDING 
Hindalco,AL30MPMEDPT-25,MP (AWW),,30,SWG,0.315,PT-25,ALUMINIUM WINDING 
Hindalco,AL31MPMEDPT-10,MP (AWW),,31,SWG,0.293,PT-10,ALUMINIUM WINDING 
Hindalco,AL32MPMEDPT-10,MP (AWW),,32,SWG,0.274,PT-10,ALUMINIUM WINDING 
Hindalco,AL33MPMEDPT-10,MP (AWW),,33,SWG,0.254,PT-10,ALUMINIUM WINDING 
Hindalco,AL33MPMEDPT-25,MP (AWW),,33,SWG,0.254,PT-25,ALUMINIUM WINDING 
Hindalco,AL34MPMEDPT-10,MP (AWW),,34,SWG,0.233,PT-10,ALUMINIUM WINDING 
AL (FG),AL35MPMEDPT-10,MP (AWW),,35,SWG,0.212,PT-10,ALUMINIUM WINDING 
AL (FG),ALBAREWIRE,BARE,,1.4,MM,1.4,,
CU (FG),COPPER WIRE (jOB ,,BARE,,,,,
CU (FG),CU0.07SSFINEPT-4,SS (CWW),,0.07,MM,7.0000000000000007E-2,PT-4,COPPER WINDING 
CU (FG),CU0.07SSMEDPT-4,SS (CWW),,0.07,MM,7.0000000000000007E-2,PT-4,COPPER WINDING 
CU (FG),CU0.085SSHFINEPT-4,SSH (CWW),,0.085,MM,0.085,PT-4,COPPER WINDING 
CU (FG),CU0.08SSFINEPT4,SS (CWW),FINE,0.08,MM,0.1,,COPPER WINDING 
CU (FG),CU0.09SSFINEPT-4,SS (CWW),FINE,0.09,,0.1,PT-4,COPPER WINDING 
CU (FG),CU0.1*4SSFINEPT-10,SS (CWW),FINE,0.1,MM,0.1,PT-10,COPPER WINDING 
CU (FG),CU0.102SSFINEPT-4,SS (CWW),,0.102,MM,0.101,PT-4,COPPER WINDING 
CU (FG),CU0.102SSHFINEPT-4,SSH (CWW),,0.102,MM,0.101,PT-4,COPPER WINDING 
Weekly WWMA,CU0.112SSFINEPT-4,SS (CWW),,0.112,MM,0.112,PT-4,COPPER WINDING 
CU (FG),CU0.112SSHFINEPT-4,SSH (CWW),,0.112,MM,0.112,PT-4,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.115SSFINEPT-4,SS (CWW),,0.115,MM,0.115,PT-4,COPPER WINDING 
CU (FG),CU0.118SSHFINEPT-4,SSH (CWW),,0.118,MM,0.117,PT-4,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.11SSFINEPT-4,SS (CWW),,0.11,MM,0.11,PT-4,COPPER WINDING 
CU (FG),CU0.11SSMEDPT-4,SS (CWW),,0.11,MM,0.11,PT-4,COPPER WINDING 
CU (FG),CU0.125SSHFINEPT-4,SSH (CWW),,0.125,MM,0.125,PT-4,COPPER WINDING 
CU (FG),CU0.12SSFINEPT-10,SS (CWW),,0.12,MM,0.12,PT-10,
Weekly WWMA PLUS 1,CU0.12SSFINEPT-4,SS (CWW),,0.12,MM,0.12,PT-4,COPPER WINDING 
CU (FG),CU0.132SSFINEPT-4,SS (CWW),,0.132,MM,0.132,PT-4,COPPER WINDING 
CU (FG),CU0.132SSHFINEPT-4,SSH (CWW),,0.132,MM,0.132,PT-4,COPPER WINDING 
CU (FG),CU0.132SSMEDPT-4,SS (CWW),,0.132,MM,0.132,PT-4,COPPER WINDING 
CU (FG),CU0.13SSFINEPT-4,SS (CWW),,0.13,MM,0.13,PT-4,COPPER WINDING 
CU (FG),CU0.140*4 SSFINEPT10,SS (CWW),FINE,0.14,MM,0.140,PT-10,COPPER WINDING 
CU (FG),CU0.14SSHFINEPT-10,SSH (CWW),,0.14,MM,0.140,PT-10,COPPER WINDING 
CU (FG),CU0.14SSMEDPT-10,SS (CWW),,0.14,MM,0.140,PT-10,COPPER WINDING 
CU (FG),CU0.15*3SSFINEPT-10,SS (CWW),FINE,0.15,MM,0.15,PT-10,COPPER WINDING 
CU (FG),CU0.15*4HSSFINEPT-10,SSH (CWW),,0.15,MM,0.15,PT-10,COPPER WINDING 
CU (FG),CU0.152SSFINEPT-10,SS (CWW),,0.152,MM,0.152,PT-10,COPPER WINDING 
CU (FG),CU0.152SSHFINEPT-10,SSH (CWW),,0.152,MM,0.152,PT-10,COPPER WINDING 
CU (FG),CU0.152SSMEDPT-10,SS (CWW),,0.152,MM,0.152,PT-10,COPPER WINDING 
CU (FG),CU0.15BAREPT-25,BARE,,0.15,MM,0.15,PT-25,COPPER WIRE
Group Name,Item Name,Class Of Insulation,Covering ,Material Designation-1,Material Designation-2,Size In Mm,Spool Size,Wire Type
CU (FG),CU0.15DCMEDPT-4,DC (CWW),,0.15,MM,0.15,PT-4,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.15SSFINEPT-10,SS (CWW),,0.15,MM,0.15,PT-10,COPPER WINDING 
CU (FG),CU0.15SSMEDPT-10,SS (CWW),,0.15,MM,0.15,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.16SSFINEPT-10,SS (CWW),,0.16,MM,0.16,PT-10,COPPER WINDING 
CU (FG),CU0.16SSHFINEPT-10,SSH (CWW),,0.16,MM,0.16,PT-10,COPPER WINDING 
CU (FG),CU0.173SSFINEPT-10,SS (CWW),,0.173,MM,0.172,PT-10,COPPER WINDING 
CU (FG),CU0.173SSHFINEPT-10,SSH (CWW),,0.173,MM,0.172,PT-10,COPPER WINDING 
CU (FG),CU0.17MPMEDPT-10,MP (CWW),,0.17,MM,0.17,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.17SSFINEPT-10,SS (CWW),,0.17,MM,0.17,PT-10,COPPER WINDING 
CU (FG),CU0.17SSMEDPT-10,SS (CWW),,0.17,MM,0.17,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.18SSFINEPT-10,SS (CWW),,0.18,MM,0.18,PT-10,COPPER WINDING 
CU (FG),CU0.18SSHFINEPT-10,SSH (CWW),,0.18,MM,0.18,PT-10,COPPER WINDING 
CU (FG),CU0.18SSMEDPT-10,SS (CWW),,0.18,MM,0.18,PT-10,COPPER WINDING 
CU (FG),CU0.193SSFINEPT-10,SS (CWW),,0.193,MM,0.193,PT-10,COPPER WINDING 
CU (FG),CU0.193SSHFINEPT-10,SSH (CWW),,0.193,MM,0.193,PT-10,COPPER WINDING 
CU (FG),CU0.193SSMEDPT-10,SS (CWW),,0.193,MM,0.193,PT-10,COPPER WINDING 
CU (FG),CU0.19MPMEDPT-10,MP (CWW),,0.19,MM,0.19,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.19SSFINEPT-10,SS (CWW),,0.19,MM,0.19,PT-10,COPPER WINDING 
CU (FG),CU0.19SSMEDPT-10,SS (CWW),,0.19,MM,0.19,PT-10,COPPER WINDING 
CU (FG),CU0.1HCFINEPT-4,HC (CWW),,0.1,MM,0.1,PT-4,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.1SSFINEPT-4,SS (CWW),,0.1,MM,0.1,PT-4,COPPER WINDING 
CU (FG),CU0.213SSFINEPT-10,SS (CWW),,0.213,MM,0.212,PT-10,COPPER WINDING 
CU (FG),CU0.213SSHFINEPT-10,SSH (CWW),,0.213,MM,0.212,PT-10,COPPER WINDING 
CU (FG),CU0.215SSFINEPT-10,SS (CWW),,0.215,MM,0.215,PT-10,COPPER WINDING 
CU (FG),CU0.21MPMEDPT-10,MP (CWW),,0.21,MM,0.21,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.21SSFINEPT-10,SS (CWW),,0.21,MM,0.21,PT-10,COPPER WINDING 
CU (FG),CU0.21SSMEDPT-10,SS (CWW),,0.21,MM,0.21,PT-10,COPPER WINDING 
CU (FG),CU0.224SSHFINEPT-10,SSH (CWW),,0.224,MM,0.224,PT-10,COPPER WINDING 
CU (FG),CU0.225SSFINEPT-10,SS (CWW),,0.225,MM,0.225,PT-10,COPPER WINDING 
CU (FG),CU0.22SSFINEPT-10,SS (CWW),,0.21,MM,0.22,PT-10,COPPER WINDING 
CU (FG),CU0.22SSHMEDPT-10,SSH (CWW),,0.22,MM,0.22,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.22SSMEDPT-10,SS (CWW),,0.22,MM,0.22,PT-10,COPPER WINDING 
CU (FG),CU0.234SSHFINEPT-10,SSH (CWW),,0.234,MM,0.234,PT-10,COPPER WINDING 
CU (FG),CU0.236DCMEDPT-10,DC (CWW),,0.236,MM,0.235,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.23SSFINEPT-10,SS (CWW),,0.23,MM,0.23,PT-10,COPPER WINDING 
CU (FG),CU0.23SSHMEDPT-10,SSH (CWW),,0.23,MM,0.23,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.23SSMEDPT-10,SS (CWW),,0.23,MM,0.23,PT-10,COPPER WINDING 
CU (FG),CU0.24SSFINEPT-10,SS (CWW),,0.24,MM,0.24,PT-10,COPPER WINDING 
CU (FG),CU0.254SSHFINEPT-10,SSH (CWW),,0.254,MM,0.254,PT-10,COPPER WINDING 
CU (FG),CU0.254SSHMEDPT-10,SSH (CWW),,0.254,MM,0.254,PT-10,COPPER WINDING 
CU (FG),CU0.25DCMEDPT-10,DC (CWW),,0.25,MM,0.25,PT-10,COPPER WINDING 
CU (FG),CU0.25SSFINEPT-10,SS (CWW),,0.25,MM,0.25,PT-10,COPPER WINDING 
CU (FG),CU0.25SSMEDPT-10,SS (CWW),,0.25,MM,0.25,PT-10,COPPER WINDING 
CU (FG),CU0.265DCMEDPT-10,DC (CWW),,0.265,MM,0.265,PT-10,COPPER WINDING 
CU (FG),CU0.265SSHFINEPT-10,SSH (CWW),,0.265,MM,0.265,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.26SSFINEPT-10,SS (CWW),,0.26,MM,0.26,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.26SSMEDPT-10,SS (CWW),,0.26,MM,0.26,PT-10,COPPER WINDING 
CU (FG),CU0.274SSHFINEPT-10,SSH (CWW),,0.274,MM,0.274,PT-10,COPPER WINDING 
CU (FG),CU0.27DCFINEPT-10,DC (CWW),,0.27,MM,0.27,PT-10,COPPER WINDING 
Group Name,Item Name,Class Of Insulation,Covering ,Material Designation-1,Material Designation-2,Size In Mm,Spool Size,Wire Type
CU (FG),CU0.27MCFINEPT-10,MC (CWW),,0.27,MM,0.27,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.27SSFINEPT-10,SS (CWW),,0.27,MM,0.27,PT-10,COPPER WINDING 
CU (FG),CU0.28DCMEDPT-10,DC (CWW),,0.28,MM,0.280,PT-10,COPPER WINDING 
CU (FG),CU0.28SSMEDPT-10,SS (CWW),,0.28,MM,0.280,PT-10,COPPER WINDING 
CU (FG),CU0.295SSHFINEPT-10,SSH (CWW),,0.295,MM,0.294,PT-10,COPPER WINDING 
CU (FG),CU0.29DCFINEPT-25,DC (CWW),,0.29,MM,0.289,PT-25,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.29MCFINEPT-25,MC (CWW),,0.29,MM,0.289,PT-25,COPPER WINDING 
CU (FG),CU0.2SSFINEPT-10,SS (CWW),,0.2,MM,0.2,PT-10,COPPER WINDING 
CU (FG),CU0.2SSMEDPT-10,SS (CWW),,0.3,MM,0.2,PT-10,COPPER WINDING 
CU (FG),CU0.315DCMEDPT-25,DC (CWW),,0.315,MM,0.315,PT-25,COPPER WINDING 
CU (FG),CU0.315SSHFINEPT-10,SSH (CWW),,0.315,MM,0.315,PT-10,COPPER WINDING 
CU (FG),CU0.315SSMEDPT-10,SS (CWW),,0.315,MM,0.315,PT-10,COPPER WINDING 
CU (FG),CU0.32SSFINEPT-10,SS (CWW),,0.32,MM,0.32,PT-10,COPPER WINDING 
CU (FG),CU0.335DCMEDPT-25,DC (CWW),,0.335,MM,0.335,PT-25,COPPER WINDING 
CU (FG),CU0.345DCMEDPT-25,DC (CWW),,0.345,MM,0.344,PT-25,COPPER WINDING 
CU (FG),CU0.345SSHFINEPT-10,SSH (CWW),,0.345,MM,0.344,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.34SSFINEPT-10,SS (CWW),,0.34,MM,0.34,PT-10,COPPER WINDING 
CU (FG),CU0.355DCMEDPT-25,DC (CWW),,0.355,MM,0.354,PT-25,COPPER WINDING 
CU (FG),CU0.355SSFINEPT-10,SS (CWW),,0.355,MM,0.354,PT-10,COPPER WINDING 
CU (FG),CU0.355SSHFINEPT-10,SSH (CWW),,0.355,MM,0.354,PT-10,COPPER WINDING 
CU (FG),CU0.35DCMEDPT-25,DC (CWW),,0.35,MM,0.35,PT-25,COPPER WINDING 
CU (FG),CU0.35DCMEDPT-90,DC (CWW),,0.35,MM,0.35,PT-90,COPPER WINDING 
CU (FG),CU0.35HCMEDPT-25,HC (CWW),,0.35,MM,0.35,PT-25,COPPER WINDING 
CU (FG),CU0.35MCFINEPT-25,MC (CWW),,0.35,MM,0.35,PT-25,COPPER WINDING 
Denso,CU0.35MCFINEPT-90,MC (CWW),,0.35,MM,0.35,PT-90,COPPER WINDING 
CU (FG),CU0.35MCMEDPT-25,MC (CWW),,0.35,MM,0.35,PT-25,COPPER WINDING 
CU (FG),CU0.35SSHFINEPT-10,SSH (CWW),,0.35,MM,0.35,PT-10,COPPER WINDING 
CU (FG),CU0.35SSHFINEPT-25,SSH (CWW),,0.35,MM,0.35,PT-25,COPPER WINDING 
CU (FG),CU0.35SSHMEDPT-10,SSH (CWW),,0.35,MM,0.35,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.363HSSFINEPT-25,SSH (CWW),,0.363,MM,0.362,PT-25,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.363SSFINEPT-25,SS (CWW),,0.363,MM,0.362,PT-25,COPPER WINDING 
CU (FG),CU0.375DCMEDPT-25,DC (CWW),,0.375,MM,0.375,PT-25,COPPER WINDING 
CU (FG),CU0.37MPFINEPT-25,MP (CWW),,0.37,MM,0.37,PT-25,COPPER WINDING 
CU (FG),CU0.37SSFINEPT-25,SS (CWW),,0.37,MM,0.37,PT-25,COPPER WINDING 
CU (FG),CU0.3DCMEDPT-25,DC (CWW),,0.3,MM,0.3,PT-25,COPPER WINDING 
CU (FG),CU0.3FCMEDPT-25,FC (CWW),,0.3,MM,0.3,PT-25,COPPER WINDING 
CU (FG),CU0.3MPMEDPT-25,MP (CWW),,0.3,MM,0.3,PT-25,COPPER WINDING 
CU (FG),CU0.3SBMEDPT-25,SB (CWW),,0.3,MM,0.3,PT-25,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.3SSFINEPT-10,SS (CWW),,0.3,MM,0.3,PT-10,COPPER WINDING 
CU (FG),CU0.3SSMEDPT-10,SS (CWW),,0.3,MM,0.3,PT-10,COPPER WINDING 
CU (FG),CU0.417SSHFINEPT-10,SSH (CWW),,0.417,MM,0.416,PT-10,COPPER WINDING 
CU (FG),CU0.425DCMEDPT-25,DC (CWW),,0.425,MM,0.424,PT-25,COPPER WINDING 
CU (FG),CU0.425HCMEDPT-25,HC (CWW),MED,0.425,MM,,PT-25,COPPER WINDING 
CU (FG),CU0.45DCFINEPT-25,DC (CWW),,0.45,MM,0.45,PT-25,COPPER WINDING 
Denso,CU0.45DCFINEPT-90,DC (CWW),,0.45,MM,0.45,PT-90,COPPER WINDING 
CU (FG),CU0.45DCMEDPT-90,DC (CWW),,0.45,MM,0.45,PT-90,COPPER WINDING 
CU (FG),CU0.45FCMEDPT-25,FC (CWW),,0.45,MM,0.45,PT-25,COPPER WINDING 
CU (FG),CU0.45MPFINEPT-90,MP (CWW),,0.45,MM,0.45,PT-90,COPPER WINDING 
CU (FG),CU0.45MPMEDPT-25,MP (CWW),,0.45,MM,0.45,PT-25,COPPER WINDING 
Group Name,Item Name,Class Of Insulation,Covering ,Material Designation-1,Material Designation-2,Size In Mm,Spool Size,Wire Type
Weekly WWMA PLUS 1,CU0.45SSFINEPT-25,SS (CWW),,0.45,MM,0.45,PT-25,COPPER WINDING 
CU (FG),CU0.45SSMEDPT-25,SS (CWW),,0.45,MM,0.45,PT-25,COPPER WINDING 
CU (FG),CU0.475DCMEDPT-25,DC (CWW),,0.47,MM,0.474,PT-25,COPPER WINDING 
CU (FG),CU0.47SBMEDPT-25,SB (CWW),,0.47,MM,0.47,PT-25,COPPER WINDING 
CU (FG),CU0.49SSMEDPT-25,SS (CWW),,0.49,MM,0.49,PT-25,COPPER WINDING 
CU (FG),CU0.4DCFINEPT-90,DC (CWW),,0.4,MM,0.4,PT-90,COPPER WINDING 
CU (FG),CU0.4DCMEDPT-25,DC (CWW),,0.4,MM,0.4,PT-25,COPPER WINDING 
CU (FG),CU0.4DCMEDPT-90,DC (CWW),,0.4,MM,0.4,PT-90,COPPER WINDING 
CU (FG),CU0.4FCMEDPT-25,FC (CWW),,0.4,MM,0.4,PT-25,COPPER WINDING 
CU (FG),CU0.4MPMEDPT-25,MP (CWW),,0.4,MM,0.4,PT-25,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.4SSFINEPT-25,SS (CWW),,0.4,MM,0.4,PT-25,COPPER WINDING 
CU (FG),CU0.4SSMEDPT-25,SS (CWW),,0.4,MM,0.4,PT-25,COPPER WINDING 
CU (FG),CU0.508SSHFINEPT-10,SSH (CWW),,0.508,MM,0.508,PT-10,COPPER WINDING 
Weekly WWMA,CU0.508SSMEDPT-25,SS (CWW),,0.508,MM,0.508,PT-25,COPPER WINDING 
CU (FG),CU0.51MPMEDPT-25,MP (CWW),,0.51,MM,0.51,PT-25,COPPER WINDING 
CU (FG),CU0.52DCFINEPT-25,DC (CWW),,0.52,MM,0.52,PT-25,COPPER WINDING 
CU (FG),CU0.53DCFINEPT-25,DC (CWW),,0.53,MM,0.53,PT-25,COPPER WINDING 
CU (FG),CU0.53DCMEDPT-25,DC (CWW),,0.53,MM,0.53,PT-25,COPPER WINDING 
