Group Name,Item Name,Class Of Insulation,Covering ,Material Designation-1,Material Designation-2,Size In Mm,Spool Size,Wire Type
CU (FG),CU0.53MPMEDPT-25,MP (CWW),,0.53,MM,0.53,PT-25,COPPER WINDING 
PROV,CU0.53MPMEDPT-90,MP (CWW),,0.53,MM,0.53,PT-90,COPPER WINDING 
CU (FG),CU0.53SBMEDPT-25,SB (CWW),,0.53,MM,0.53,PT-25,COPPER WINDING 
CU (FG),CU0.53SSMEDPT-25,SS (CWW),,0.53,MM,0.53,PT-25,COPPER WINDING 
CU (FG),CU0.54SSFINEPT-25,SS (CWW),,0.54,MM,0.54,PT-25,COPPER WINDING 
CU (FG),CU0.559DCMEDPT-25,DC (CWW),,0.559,MM,0.559,PT-25,COPPER WINDING 
CU (FG),CU0.559FCMEDPT-25,FC (CWW),,0.559,MM,0.559,PT-25,COPPER WINDING 
Monthly WWMA,CU0.55DCFINEPT-45,DC (CWW),,0.55,MM,0.550,PT-45,COPPER WINDING 
Denso,CU0.55DCFINEPT-90,DC (CWW),,0.55,MM,0.550,PT-90,COPPER WINDING 
CU (FG),CU0.55DCFinePT-25,DC (CWW),FINE,0.55,MM,0.550,PT-25,COPPER WINDING 
CU (FG),CU0.55DCMEDPT-45,DC (CWW),,0.55,MM,0.550,PT-45,COPPER WINDING 
CU (FG),CU0.55DCMEDPT-90,DC (CWW),,0.55,MM,0.550,PT-90,COPPER WINDING 
Monthly WWMA,CU0.55MCFINEPT-45,MC (CWW),,0.55,MM,0.550,PT-45,COPPER WINDING 
CU (FG),CU0.55SBMEDPT-25,SB (CWW),,0.55,MM,0.550,PT-25,COPPER WINDING 
CU (FG),CU0.56DCMEDPT-25,DC (CWW),,0.56,MM,0.560,PT-25,COPPER WINDING 
1.0957,CU0.56DCSBMEDPT-25,SB (CWW),,0.56,MM,0.560,PT-25,COPPER WINDING 
Monthly WWMA,CU0.57MCFINEPT-45,MC (CWW),,0.57,MM,0.569,PT-45,COPPER WINDING 
Denso,CU0.58DCMEDPT-90,DC (CWW),,0.58,MM,0.579,PT-90,COPPER WINDING 
CU (FG),CU0.5DCFINEPT-45,DC (CWW),,0.5,MM,0.5,PT-45,COPPER WINDING 
Denso,CU0.5DCFINEPT-90,DC (CWW),FINE,0.5,MM,0.5,PT-90,COPPER WINDING 
CU (FG),CU0.5DCMEDPT-45,DC (CWW),,0.5,MM,0.5,PT-45,COPPER WINDING 
CU (FG),CU0.5DCMEDPT-90,DC (CWW),,0.5,MM,0.5,PT-90,COPPER WINDING 
CU (FG),CU0.5MCFINEPT-25,MC (CWW),,0.5,MM,0.5,PT-25,COPPER WINDING 
CU (FG),CU0.63DCFINEPT-25,DC (CWW),,0.63,MM,0.63,PT-25,COPPER WINDING 
CU (FG),CU0.63DCFINEPT-45,DC (CWW),,0.63,MM,0.63,PT-45,COPPER WINDING 
CU (FG),CU0.63DCMEDPT-25,DC (CWW),,0.63,MM,0.63,PT-25,COPPER WINDING 
CU (FG),CU0.63DCMEDPT-45,DC (CWW),,0.63,MM,0.63,PT-45,COPPER WINDING 
CU (FG),CU0.63MPMEDPT-25,MP (CWW),,0.63,MM,0.63,PT-25,COPPER WINDING 
Monthly WWMA,CU0.65DCFINEPT-45,DC (CWW),,0.65,MM,0.65,PT-45,COPPER WINDING 
Denso,CU0.65DCFINEPT-90,DC (CWW),,0.65,MM,0.65,PT-90,COPPER WINDING 
CU (FG),CU0.65DCMEDPT-45,DC (CWW),,0.65,MM,0.65,PT-45,COPPER WINDING 
Group Name,Item Name,Class Of Insulation,Covering ,Material Designation-1,Material Designation-2,Size In Mm,Spool Size,Wire Type
Denso,CU0.65DCMEDPT-90,DC (CWW),,0.65,MM,0.65,PT-90,COPPER WINDING 
Monthly WWMA,CU0.65MCFINEPT-45,MC (CWW),,0.65,MM,0.65,PT-45,COPPER WINDING 
CU (FG),CU0.65MPMEDPT-25,MP (CWW),,0.65,MM,0.65,PT-25,COPPER WINDING 
CU (FG),CU0.670MPMPT-90,MP (CWW),MED,0.67,MM,0.67,PT-90,COPPER WINDING 
CU (FG),CU0.67DCMEDPT-45,DC (CWW),,0.67,MM,0.67,PT-45,COPPER WINDING 
CU (FG),CU0.67FCMEDPT-25,FC (CWW),,0.67,MM,0.67,PT-25,COPPER WINDING 
CU (FG),CU0.67MPMEDPT-25,MP (CWW),,0.67,MM,0.67,PT-25,COPPER WINDING 
PROV,CU0.67MPMEDPT-90,MP (CWW),,0.67,MM,0.67,PT-90,COPPER WINDING 
CU (FG),CU0.685HCMEDPT-25,HC (CWW),,0.685,MM,0.685,PT-25,COPPER WINDING 
CU (FG),CU0.69MPFINEPT-90,MP (CWW),,0.69,MM,0.69,PT-90,COPPER WINDING 
CU (FG),CU0.6DCFINEPT-25,DC (CWW),FINE,0.6,MM,0.6,PT-25,
Monthly WWMA,CU0.6DCFINEPT-45,DC (CWW),,0.6,MM,0.6,PT-45,COPPER WINDING 
Denso,CU0.6DCFINEPT-90,DC (CWW),,0.6,MM,0.6,PT-90,COPPER WINDING 
CU (FG),CU0.6DCMEDPT-45,DC (CWW),,0.6,MM,0.6,PT-45,COPPER WINDING 
CU (FG),CU0.6DCMEDPT-90,DC (CWW),,0.6,MM,0.6,PT-90,COPPER WINDING 
Weekly WWMA PLUS 1,CU0.6MCFINEPT-25,MC (CWW),FINE,0.6,MM,0.6,PT-25,COPPER WINDING 
Monthly WWMA,CU0.6MCFINEPT-45,MC (CWW),,0.6,MM,0.6,PT-45,COPPER WINDING 
CU (FG),CU0.6MPFINEPT-90,MP (CWW),,0.6,MM,0.6,PT-90,COPPER WINDING 
CU (FG),CU0.71DCMEDPT-45,DC (CWW),,0.71,MM,0.71,PT-45,COPPER WINDING 
CU (FG),CU0.71MPMEDPT-25,MP (CWW),,0.71,MM,0.71,PT-25,COPPER WINDING 
CU (FG),CU0.71SSMEDPT-25,SS (CWW),,0.71,MM,0.71,PT-25,COPPER WINDING 
Weekly 1.0585 PLUS 1,CU0.72MPMEDPT-45,MP (CWW),,0.72,MM,0.72,PT-45,COPPER WINDING 
CU (FG),CU0.72MPMEDPT-90,MP (CWW),,0.72,MM,0.72,PT-90,COPPER WINDING 
Denso,CU0.73DCFINEPT-90,DC (CWW),,0.73,MM,0.73,PT-90,COPPER WINDING 
CU (FG),CU0.75DCMEDM-266,DC (CWW),MED,0.75,MM,0.75,M-266,COPPER WINDING 
Weekly WWMA,CU0.75DCMEDPT-45,DC (CWW),MED,0.75,MM,0.75,PT-45,COPPER WINDING 
CU (FG),CU0.75DCMEDPT-90,DC (CWW),,0.75,MM,0.75,PT-90,COPPER WINDING 
CU (FG),CU0.75HCMEDPT-45,HC (CWW),,0.75,MM,0.75,PT-45,COPPER WINDING 
CU (FG),CU0.75MPFINEPT-90,MP (CWW),,0.75,MM,0.75,PT-90,COPPER WINDING 
CU (FG),CU0.75MPMEDPT-25,MP (CWW),,0.75,MM,0.75,PT-25,COPPER WINDING 
CU (FG),CU0.77DCFINEPT-25,DC (CWW),,0.77,MM,0.77,PT-25,COPPER WINDING 
CU (FG),CU0.78DCFINEPT-90,DC (CWW),,0.78,MM,0.78,PT-90,COPPER WINDING 
CU (FG),CU0.7DCFINEPT-90,DC (CWW),,0.7,MM,0.7,PT-90,COPPER WINDING 
CU (FG),CU0.7DCMEDPT-45,DC (CWW),,0.5,MM,0.7,PT-45,COPPER WINDING 
CU (FG),CU0.7DCMEDPT-90,DC (CWW),,0.5,MM,0.7,PT-90,COPPER WINDING 
PROV,CU0.7MPMEDPT-90,MP (CWW),,0.5,MM,0.7,PT-90,COPPER WINDING 
CU (FG),CU0.7SSFINEPT-25,SS (CWW),FINE,0.7,MM,0.7,PT-25,COPPER WINDING 
CU (FG),CU0.83DCFINEPT-90,DC (CWW),,0.83,MM,0.83,PT-90,COPPER WINDING 
CU (FG),CU0.83DCMEDPT-90,DC (CWW),,0.83,MM,0.83,PT-90,COPPER WINDING 
CU (FG),CU0.83MPFINEPT-90,MP (CWW),,0.83,MM,0.83,PT-90,COPPER WINDING 
CU (FG),CU0.83MPMEDPT-90,MP (CWW),,0.83,MM,0.83,PT-90,COPPER WINDING 
CU (FG),CU0.85DCMEDPT-45,DC (CWW),,0.85,MM,0.85,PT-45,COPPER WINDING 
Denso,CU0.85DCMEDPT-90,DC (CWW),,0.85,MM,0.85,PT-90,COPPER WINDING 
CU (FG),CU0.85MCMEDPT-90,MC (CWW),,0.85,MM,0.85,PT-90,COPPER WINDING 
CU (FG),CU0.85MPFINEPT-90,MP (CWW),,0.85,MM,0.85,PT-90,COPPER WINDING 
1.0957,CU0.87DCFINEPT-180,DC (CWW),,0.87,MM,0.87,PT-180,COPPER WINDING 
CU (FG),CU0.87DCMEDPT-90,DC (CWW),,0.87,MM,0.87,PT-90,COPPER WINDING 
Weekly WWMA,CU0.87MPMEDPT-90,MP (CWW),,0.87,MM,0.87,PT-90,COPPER WINDING 
CU (FG),CU0.8DCFINEPT-90,DC (CWW),,0.8,MM,0.8,PT-90,COPPER WINDING 
Group Name,Item Name,Class Of Insulation,Covering ,Material Designation-1,Material Designation-2,Size In Mm,Spool Size,Wire Type
CU (FG),CU0.8DCMEDPT-45,DC (CWW),,0.8,MM,0.8,PT-45,COPPER WINDING 
Denso,CU0.8DCMEDPT-90,DC (CWW),MED,0.8,MM,0.8,PT-90,COPPER WINDING 
CU (FG),CU0.8MCMEDPT-90,MC (CWW),,0.8,MM,0.8,PT-90,COPPER WINDING 
CU (FG),CU0.8MPFINEPT-90,MP (CWW),,0.8,MM,0.8,PT-90,COPPER WINDING 
CU (FG),CU0.8MPMEDPT-90,MP (CWW),,0.8,MM,0.8,PT-90,COPPER WINDING 
CU (FG),CU0.900DCFINEPT-90,DC (CWW),FINE,0.9,MM,0.9,PT-90,COPPER WINDING 
CU (FG),CU0.938HCMEDPT-90,HC (CWW),,0.938,MM,0.937,PT-90,COPPER WINDING 
1.0957,CU0.95DCMEDPT-180,DC (CWW),,0.95,MM,0.95,PT-180,COPPER WINDING 
Denso,CU0.95DCMEDPT-90,DC (CWW),,0.95,MM,0.95,PT-90,COPPER WINDING 
CU (FG),CU0.95MCFINEPT-90,MC (CWW),,0.95,MM,0.95,PT-90,COPPER WINDING 
CU (FG),CU0.95MCMEDPT-90,MC (CWW),,0.95,MM,0.95,PT-90,COPPER WINDING 
CU (FG),CU0.99HCMEDPT-90,HC (CWW),,0.99,MM,0.99,PT-90,COPPER WINDING 
CU (FG),CU0.9DCFINEPT-90,DC (CWW),FINE,0.9,MM,0.9,PT-90,COPPER WINDING 
CU (FG),CU0.9DCMEDM-266,DC (CWW),MED,0.9,MM,0.9,M-266,COPPER WINDING 
CU (FG),CU0.9DCMEDPT-45,DC (CWW),,0.9,MM,0.9,PT-45,COPPER WINDING 
Denso,CU0.9DCMEDPT-90,DC (CWW),,0.9,MM,0.9,PT-90,COPPER WINDING 
CU (FG),CU0.9DCSBMEDPT-25,SB (CWW),,0.9,MM,0.9,PT-25,COPPER WINDING 
CU (FG),CU0.9HCMEDPT-90,HC (CWW),,0.9,MM,0.9,PT-90,COPPER WINDING 
CU (FG),CU0.9MCMEDPT-90,MC (CWW),,0.9,MM,0.9,PT-90,COPPER WINDING 
CU (FG),CU0.9MPFINEPT-90,MP (CWW),,0.9,MM,0.9,PT-90,COPPER WINDING 
CU (FG),CU0.9MPMEDPT-90,MP (CWW),,0.9,MM,0.9,PT-90,COPPER WINDING 
CU (FG),CU0.9SSFINEPT-25,SS (CWW),,0.9,MM,0.9,PT-25,COPPER WINDING 
CU (FG),CU1.00 BARE WIRE (JW),BARE,,,,,,COPPER WIRE
CU (FG),CU1.05DCMEDPT-90,DC (CWW),,1.05,MM,1.05,PT-90,COPPER WINDING 
Weekly WWMA PLUS 1,CU1.05HCMEDM-266,HC (CWW),,1.05,MM,1.05,M-266,COPPER WINDING 
CU (FG),CU1.05MCMEDPT-90,MC (CWW),,1.05,MM,1.05,PT-90,COPPER WINDING 
CU (FG),CU1.06DCMEDM-266,DC (CWW),,1.06,MM,1.06,M-266,COPPER WINDING 
CU (FG),CU1.06HCMEDM-266,HC (CWW),,1.06,MM,1.06,M-266,COPPER WINDING 
CU (FG),CU1.06MPMEDM-266,MP (CWW),,1.06,MM,1.06,M-266,COPPER WINDING 
CU (FG),CU1.11DCMEDM-266,DC (CWW),,1.11,MM,1.1100000000000001,M-266,COPPER WINDING 
CU (FG),CU1.12DCMEDM-266,DC (CWW),,1.12,MM,1.1200000000000001,M-266,COPPER WINDING 
CU (FG),CU1.12HCMEDM-266,HC (CWW),,1.12,MM,1.1200000000000001,M-266,COPPER WINDING 
CU (FG),CU1.15DCFINEPT-180,DC (CWW),,1.15,MM,1.1499999999999999,PT-180,COPPER WINDING 
CU (FG),CU1.15HCMEDM-266,HC (CWW),,1.15,MM,1.1499999999999999,M-266,COPPER WINDING 
CU (FG),CU1.175HCMEDM-266,HC (CWW),,1.175,MM,1.175,M-266,COPPER WINDING 
CU (FG),CU1.18DCMEDM-266,DC (CWW),,1.18,MM,1.18,M-266,COPPER WINDING 
CU (FG),CU1.1DCMEDM-266,DC (CWW),,1.1,MM,1.1000000000000001,M-266,COPPER WINDING 
Weekly WWMA PLUS 1,CU1.1HCMEDM-266,HC (CWW),,1.1,MM,1.1000000000000001,M-266,COPPER WINDING 
CU (FG),CU1.1MCMEDM-266,MC (CWW),,1.1,MM,1.1000000000000001,M-266,COPPER WINDING 
CU (FG),CU1.200DCMEDPT-25,DC (CWW),MED,1.2,MM,1.2,PT-45,COPPER WINDING 
CU (FG),CU1.200DCMEDPT-45,DC (CWW),MED,1.2,MM,1.2,PT-45,COPPER WINDING 
CU (FG),CU1.22MCFINEPT-90,MC (CWW),,1.22,MM,1.22,PT-90,COPPER WINDING 
CU (FG),CU1.25DCMEDM-266,DC (CWW),,1.25,MM,1.25,M-266,COPPER WINDING 
CU (FG),CU1.25HCMEDM-266,HC (CWW),,1.25,MM,1.25,M-266,COPPER WINDING 
CU (FG),CU1.269HCMEDM-266,HC (CWW),,1.269,MM,1.2689999999999999,M-266,COPPER WINDING 
CU (FG),CU1.2DCMEDM-266,DC (CWW),,1.2,MM,1.2,M-266,COPPER WINDING 
CU (FG),CU1.2DCMEDPT-45,DC (CWW),,,,,,COPPER WINDING 
CU (FG),CU1.2HCMEDM-266,HC (CWW),,1.2,MM,1.2,M-266,COPPER WINDING 
CU (FG),CU1.2MCFINEPT-90,MC (CWW),,1.2,MM,1.2,PT-90,COPPER WINDING 
Group Name,Item Name,Class Of Insulation,Covering ,Material Designation-1,Material Designation-2,Size In Mm,Spool Size,Wire Type
CU (FG),CU1.32DCMEDM-266,DC (CWW),,1.32,MM,1.32,M-266,COPPER WINDING 
CU (FG),CU1.3MCFINEPT-180,MC (CWW),,1.3,MM,1.3,PT-180,COPPER WINDING 
CU (FG),CU1.40 BARE WIRE,BARE,,,,,,COPPER WIRE
CU (FG),CU1.42HCMEDM-266,HC (CWW),,1.42,MM,1.42,M-266,COPPER WINDING 
CU (FG),CU1.4DCMEDM-266,DC (CWW),,1.4,MM,1.4,M-266,COPPER WINDING 
CU (FG),CU1.4SSFINEPT-25,SS (CWW),,1.4,MM,1.4,PT-25,COPPER WINDING 
CU (FG),CU1.4SSMEDPT-25,SS (CWW),,1.4,MM,1.4,PT-25,COPPER WINDING 
CU (FG),CU1.5DCMEDM-266,DC (CWW),,1.5,MM,1.5,M-266,COPPER WINDING 
CU (FG),CU1.5HCMEDM-266,HC (CWW),,1.5,MM,1.5,M-266,COPPER WINDING 
CU (FG),CU1.60 BARE WIRE(jw),BARE,,,,,,COPPER WIRE
CU (FG),CU1.6DCMEDM-266,DC (CWW),,1.6,MM,1.6,M-266,COPPER WINDING 
CU (FG),CU1.6MCFINEM-266,MC (CWW),,1.6,MM,1.6,M-266,COPPER WINDING 
CU (FG),CU1.6MPMEDM-266,MP (CWW),,1.6,MM,1.6,M-266,COPPER WINDING 
CU (FG),CU1.6SSMEDPT-25,SS (CWW),,1.6,MM,1.6,PT-25,COPPER WINDING 
CU (FG),CU1.72HCMEDM-266,HC (CWW),,1.72,MM,1.72,M-266,COPPER WINDING 
CU (FG),CU1.7DCMEDM-266,DC (CWW),,1.7,MM,1.7,M-266,COPPER WINDING 
CU (FG),CU1.82DCMEDM-266,DC (CWW),,1.82,MM,1.82,M-266,COPPER WINDING 
CU (FG),CU1.8DCFINEM-266,DC (CWW),,1.8,MM,1.8,M-266,COPPER WINDING 
CU (FG),CU1.8MPMEDM-266,MP (CWW),,1.8,MM,1.8,M-266,COPPER WINDING 
CU (FG),CU1.8MPMEDPT-90,MP (CWW),MED,1.8,MM,1.8,PT-90,COPPER WINDING 
CU (FG),CU1.9MPMEDPT-180,MP (CWW),,1.9,MM,1.9,PT-180,COPPER WINDING 
CU (FG),CU10MPMEDM-266,MP (CWW),,10,SWG,3.2509999999999999,M-266,COPPER WINDING 
CU (FG),CU11MPMEDM-266,MP (CWW),,11,SWG,2.9460000000000002,M-266,COPPER WINDING 
CU (FG),CU12FCMEDM-266,FC (CWW),,12,SWG,2.6419999999999999,M-266,COPPER WINDING 
CU (FG),CU12MPMEDM-266,MP (CWW),,12,SWG,2.6419999999999999,M-266,COPPER WINDING 
Weekly WWMA PLUS 1,CU13BARE WIRE,BARE,,,,,,COPPER WIRE
CU (FG),CU13MPMEDM-266,MP (CWW),,13,SWG,2.3370000000000002,M-266,COPPER WINDING 
CU (FG),CU14DCMEDM-266,DC (CWW),,14,SWG,2.032,M-266,COPPER WINDING 
CU (FG),CU14HCMEDM-266,HC (CWW),,14,SWG,2.032,M-266,COPPER WINDING 
CU (FG),CU14MPMEDM-266,MP (CWW),,14,SWG,2.032,M-266,COPPER WINDING 
CU (FG),CU15HCMEDM-266,HC (CWW),,15,SWG,1.829,M-266,COPPER WINDING 
CU (FG),CU15MPMEDM-266,MP (CWW),,15,SWG,1.829,M-266,COPPER WINDING 
Weekly WWMA PLUS 1,CU16.5MPMEDM-266,MP (CWW),,16.5,SWG,1.524,M-266,COPPER WINDING 
CU (FG),CU16DCMEDM-266,DC (CWW),,16,SWG,1.6259999999999999,M-266,COPPER WINDING 
CU (FG),CU16HCMEDM-266,HC (CWW),,16,SWG,1.6259999999999999,M-266,COPPER WINDING 
Weekly WWMA PLUS 1,CU16MPMEDM-266,MP (CWW),,16,SWG,1.6259999999999999,M-266,COPPER WINDING 
CU (FG),CU17.5DCMEDM-266,DC (CWW),,17.5,SWG,1.32,M-266,COPPER WINDING 
Weekly WWMA PLUS 1,CU17.5MPMEDM-266,MP (CWW),,17.5,SWG,1.32,M-266,COPPER WINDING 
CU (FG),CU17DCMEDM-266,DC (CWW),,17,SWG,1.4219999999999999,M-266,COPPER WINDING 
CU (FG),CU17HCMEDM-266,HC (CWW),,17,SWG,1.4219999999999999,M-266,COPPER WINDING 
Weekly WWMA PLUS 1,CU17MPMEDM-266,MP (CWW),,17,SWG,1.4219999999999999,M-266,COPPER WINDING 
CU (FG),CU18.5DCMEDM-266,DC (CWW),,18.5,SWG,1.117,M-266,COPPER WINDING 
CU (FG),CU18.5FCMEDM-266,FC (CWW),,18.5,SWG,1.117,M-266,COPPER WINDING 
Weekly WWMA PLUS 1,CU18.5HCMEDM-266,HC (CWW),,18.5,SWG,1.117,M-266,COPPER WINDING 
Weekly WWMA PLUS 1,CU18.5MPMEDM-266,MP (CWW),,18.5,SWG,1.117,M-266,COPPER WINDING 
CU (FG),CU18FCMEDM-266,FC (CWW),,18,SWG,1.2190000000000001,M-266,COPPER WINDING 
Weekly WWMA PLUS 1,CU18HCMEDM-266,HC (CWW),,18,SWG,1.2190000000000001,M-266,COPPER WINDING 
Weekly WWMA PLUS 1,CU18MPMEDM-266,MP (CWW),,18,SWG,1.2190000000000001,M-266,COPPER WINDING 
CU (FG),CU19.5DCMEDM-266,DC (CWW),,19.5,SWG,0.964,M-266,COPPER WINDING 
Group Name,Item Name,Class Of Insulation,Covering ,Material Designation-1,Material Designation-2,Size In Mm,Spool Size,Wire Type
Weekly WWMA PLUS 1,CU19.5FCMEDM-266,FC (CWW),,19.5,SWG,0.964,M-266,COPPER WINDING 
CU (FG),CU19.5HCMEDPT-25,HC (CWW),,19.5,SWG,0.964,PT-25,COPPER WINDING 
Weekly WWMA PLUS 1,CU19.5MPMEDPT-25,MP (CWW),,19.5,SWG,0.964,PT-25,COPPER WINDING 
CU (FG),CU19DCMEDM-266,DC (CWW),,19,SWG,1.016,M-266,COPPER WINDING 
CU (FG),CU19FCMEDM-266,FC (CWW),,19,SWG,1.016,M-266,COPPER WINDING 
Weekly WWMA PLUS 1,CU19HCMEDM-266,HC (CWW),,19,SWG,1.016,M-266,COPPER WINDING 
Weekly WWMA PLUS 1,CU19MPMEDM-266,MP (CWW),,19,SWG,1.016,M-266,COPPER WINDING 
CU (FG),CU1DCFINEPT-25,DC (CWW),,1,MM,1,PT-25,COPPER WINDING 
Denso,CU1DCFINEPT90,DC (CWW),FINE,1,MM,1,PT-90,
CU (FG),CU1DCMEDPT-45,DC (CWW),MED,1,MM,1,PT-45,COPPER WINDING 
Denso,CU1DCMEDPT-90,DC (CWW),,1,MM,1,PT-90,COPPER WINDING 
CU (FG),CU1HCMEDM-266,HC (CWW),,1,MM,1,M-266,COPPER WINDING 
CU (FG),CU1MPMEDM-266,MP (CWW),,1,MM,1,M-266,COPPER WINDING 
Weekly WWMA,CU1SSMEDPT-25,SS (CWW),MED,1,MM,1,PT-25,COPPER WINDING 
CU (FG),CU2.1DCMEDPT-25,DC (CWW),,2.1,MM,2.1,PT-25,COPPER WINDING 
CU (FG),CU2.24DCMEDPT-90,DC (CWW),,,MM,2.2400000000000002,PT-90,COPPER WINDING 
1.0957,CU2.24MCMEDPT-90,MC (CWW),,2.24,MM,2.2400000000000002,PT-90,COPPER WINDING 
CU (FG),CU2.3DCMEDM-266,DC (CWW),MED,2.3,MM,2.3370000000000002,M-266,COPPER WINDING 
CU (FG),CU20.5DCMEDM-266,DC (CWW),,20.5,SWG,0.862,M-266,COPPER WINDING 
CU (FG),CU20.5FCMEDM-266,FC (CWW),,20.5,SWG,0.862,M-266,COPPER WINDING 
CU (FG),CU20.5HCMEDPT-25,HC (CWW),,20.5,SWG,0.862,PT-25,COPPER WINDING 
Weekly WWMA PLUS 1,"CU20.5MPMED PT-10""",MP (CWW),,20,SWG,0.914,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU20.5MPMEDPT-25,MP (CWW),,20.5,SWG,0.862,PT-25,COPPER WINDING 
Weekly WWMA PLUS 1,CU20DCMEDM-266,DC (CWW),,20,SWG,0.914,M-266,COPPER WINDING 
CU (FG),CU20FCMEDM-266,FC (CWW),,20,SWG,0.914,M-266,COPPER WINDING 
Weekly WWMA PLUS 1,CU20HCMEDM-266,HC (CWW),,20,SWG,0.914,M-266,COPPER WINDING 
Weekly WWMA PLUS 1,CU20HCMEDPT-25,HC (CWW),,20,SWG,0.914,PT-25,COPPER WINDING 
Weekly WWMA PLUS 1,"CU20MPMEDPT-10""",MP (CWW),,20,SWG,0.914,PT-10,COPPER WINDING 
Weekly WWMA PLUS 1,CU20MPMEDPT-25,MP (CWW),,20,SWG,0.914,PT-25,COPPER WINDING 
CU (FG),CU21.5FCMEDM-266,FC (CWW),,21.5,SWG,0.762,M-266,COPPER WINDING 
CU (FG),CU21.5HCMEDM-266,HC (CWW),,21.5,SWG,0.762,M-266,COPPER WINDING 
CU (FG),CU21.5HCMEDPT-25,HC (CWW),,21.5,SWG,0.762,PT-25,COPPER WINDING 
Weekly WWMA PLUS 1,CU21.5MPMEDPT-25,MP (CWW),,21.5,SWG,0.762,PT-25,COPPER WINDING 
CU (FG),CU21DCMEDM-266,DC (CWW),,21,SWG,0.812,M-266,COPPER WINDING 
CU (FG),CU21FCMEDM-266,FC (CWW),,21,SWG,0.812,M-266,COPPER WINDING 
CU (FG),CU21HCMEDPT-25,HC (CWW),,21,SWG,0.812,PT-25,COPPER WINDING 
Weekly WWMA PLUS 1,CU21MPMEDPT-25,MP (CWW),,21,SWG,0.812,PT-25,COPPER WINDING 
CU (FG),CU22.5DCMEDM-266,DC (CWW),,22,SWG,0.66,M-266,COPPER WINDING 
CU (FG),CU22.5FCMEDPT-25,FC (CWW),,22,SWG,0.66,PT-25,COPPER WINDING 
Weekly WWMA PLUS 1,CU22.5HCMEDPT-25,HC (CWW),,22.5,SWG,0.66,PT-25,COPPER WINDING 
