Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,Additional Custom Duty,Basic Custom Duty,Cst Purchase @1%,Cst Purchase @2%,Cvd,Ec On Purchase @2%,Excise On Purchase -6.00%,Excise On Purchase 12.50%,Excise On Purchase @14%,Hec On Purchase @1%,Input Vat - 12.50% Up,Input Vat - 4.00% Up,Input Vat Additional - 1.50% ,Input Vat Additional. - 1% Up,,Net Amount
PB0000398,09-06-2015,SAI AUTOMATION,,MRN-608/412,30-05-2015,,,INR,ELECTRICAL-MISC,PCS,1.00,3707.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3707.00
PB0000399,09-06-2015,MYKODA AUTO INDUSTRIES (REGD.),,MRN-609/13919,01-06-2015,,,INR,MISC. OIL SEALS,PCS,45.00,2049.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.00,0.00,20.00,0.00,2151.75
PB0000400,09-06-2015,UNITED TRADERS,,MRN-610/13309,01-06-2015,,,INR,PACKING EQUIPMENTS,PCS,1.00,1628.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1628.00
PB0000401,09-06-2015,HPT AND COMPANY,,MRN-611/1351,01-06-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,4589.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4589.00
PB0000402,09-06-2015,SSK CHEMICALS PVT. LTD.,RCPT0000000035,088,02-06-2015,MRN-622,03-06-2015,INR,SSK 2543,KG,420.00,75600.00,0.00,0.00,0.00,0.00,1701.00,0.00,0.00,0.00,9450.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86751.00
,,,,,,,,,SSK 4001,KG,420.00,39060.00,0.00,0.00,0.00,0.00,879.00,0.00,0.00,0.00,4883.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44822.00
PB0000403,09-06-2015,Hindalco,RCPT0000000040,DCR/15001486,03-06-2015,MRN-633,04-06-2015,INR,COPPER WIRE / ROD,KG,2996.00,1279292.00,0.00,0.00,0.00,14392.00,0.00,0.00,0.00,0.00,159912.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1453596.00
PB0000404,09-06-2015,Hindalco,RCPT0000000041,DCR/15001487,03-06-2015,MRN-634,04-06-2015,INR,COPPER WIRE / ROD,KG,6004.00,2563708.00,0.00,0.00,0.00,28842.00,0.00,0.00,0.00,0.00,320464.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2913014.00
PB0000405,09-06-2015,N.K. Joy & Co.,RCPT0000000051,15,03-06-2015,MRN-635,04-06-2015,INR,BEARING - 3308,PCS,4.00,9600.00,0.00,0.00,0.00,0.00,192.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9792.00
,,,,,,,,,BEARING - 6001 2Z,PCS,10.00,1100.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1122.00
,,,,,,,,,BEARING - 6004 2Z,PCS,10.00,1630.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1663.00
,,,,,,,,,BEARING - 6006 2Z,PCS,4.00,956.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,975.00
,,,,,,,,,BEARING -625,PCS,20.00,2020.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2060.00
,,,,,,,,,BEARING 608 Z,PCS,20.00,1760.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1795.00
,,,,,,,,,BEARING 6200 2Z,PCS,4.00,448.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,457.00
,,,,,,,,,BEARING 6201 ZZ,PCS,4.00,424.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,432.00
,,,,,,,,,BEARING 6202 2Z,PCS,4.00,448.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,457.00
,,,,,,,,,BEARING 6302 2Z,PCS,2.00,384.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,392.00
,,,,,,,,,BEARING- 6015  2RS1,PCS,2.00,1876.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1914.00
,,,,,,,,,BEARING- 6016 2RS1,PCS,2.00,2250.00,0.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2295.00
,,,,,,,,,BEARING- 6203,PCS,4.00,556.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,567.00
,,,,,,,,,BEARING- 6205- 2Z,PCS,4.00,1096.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1118.00
,,,,,,,,,BEARING- 6206 2Z,PCS,4.00,1428.00,0.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1457.00
,,,,,,,,,BEARING- 6301-2Z,PCS,4.00,556.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,567.00
,,,,,,,,,BEARING-626 2Z,PCS,20.00,2060.00,0.00,0.00,0.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2101.00
PB0000406,09-06-2015,Hindalco,RCPT0000000042,DCR/15001485,03-06-2015,MRN-637,04-06-2015,INR,COPPER WIRE / ROD,KG,2987.00,1275449.00,0.00,0.00,0.00,14349.00,0.00,0.00,0.00,0.00,159431.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1449229.00
PB0000430,11-06-2015,Hindalco,RCPT0000000100,DGH/15000632,05-06-2015,MRN-641,05-06-2015,INR,COPPER WIRE / ROD,KG,5961.00,2666170.51,2980.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,333271.00,0.00,0.00,0.00,119978.00,0.00,29994.00,0.00,3146433.01
PB0000431,11-06-2015,Hindalco,RCPT0000000101,DGH/15000633,05-06-2015,MRN-643,05-06-2015,INR,COPPER WIRE / ROD,KG,5999.00,2683166.73,2999.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,335396.00,0.00,0.00,0.00,120743.00,0.00,30186.00,0.00,3166492.23
PB0000432,11-06-2015,Hindalco,RCPT0000000102,DGH/15000641,06-06-2015,MRN-651,06-06-2015,INR,COPPER WIRE / ROD,KG,6001.00,2684061.27,3000.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,335508.00,0.00,0.00,0.00,120783.00,0.00,30196.00,0.00,3167547.77
PB0000433,11-06-2015,Hindalco,RCPT0000000103,DGH/15000642,06-06-2015,MRN-653,06-06-2015,INR,COPPER WIRE / ROD,KG,5985.00,2676904.96,2992.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,334613.00,0.00,0.00,0.00,120461.00,0.00,30115.00,0.00,3159101.46
PB0000434,11-06-2015,S.S.Packaging,RCPT0000000119,218,06-06-2015,MRN-654,06-06-2015,INR,STRECH FILM,KG,127.80,18531.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2316.00,0.00,0.00,0.00,834.00,0.00,208.00,0.00,21889.00
PB0000435,11-06-2015,Hindalco,RCPT0000000043,DCR/15001535,06-06-2015,MRN-662,07-06-2015,INR,COPPER WIRE / ROD,KG,8929.00,3827621.22,0.00,0.00,0.00,43061.00,0.00,0.00,0.00,0.00,478453.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4349135.22
PB0000436,11-06-2015,Hindalco,RCPT0000000044,DCR/15001536,06-06-2015,MRN-663,07-06-2015,INR,COPPER WIRE / ROD,KG,2965.00,1271015.44,0.00,0.00,0.00,14299.00,0.00,0.00,0.00,0.00,158877.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1444191.44
PB0000437,11-06-2015,Hindalco,RCPT0000000104,DGH/15000647,08-06-2015,MRN-666,08-06-2015,INR,COPPER WIRE / ROD,KG,5949.00,2660803.28,2974.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,332600.00,0.00,0.00,0.00,119736.00,0.00,29934.00,0.00,3140098.78
PB0000438,11-06-2015,Hindalco,RCPT0000000105,DGH/15000648,08-06-2015,MRN-667,08-06-2015,INR,COPPER WIRE / ROD,KG,6002.00,2684508.54,3001.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,335564.00,0.00,0.00,0.00,120803.00,0.00,30201.00,0.00,3168075.54
PB0000439,11-06-2015,Hindalco,RCPT0000000106,DGH/15000654,09-06-2015,MRN-669,09-06-2015,INR,COPPER WIRE / ROD,KG,5987.00,2677799.50,2993.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,334725.00,0.00,0.00,0.00,120501.00,0.00,30125.00,0.00,3160157.00
PB0000440,11-06-2015,Hindalco,RCPT0000000107,DGH/15000655,09-06-2015,MRN-670,09-06-2015,INR,COPPER WIRE / ROD,KG,2973.00,1329730.74,1486.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166216.00,0.00,0.00,0.00,59838.00,0.00,14959.00,0.00,1569257.24
PB0000441,11-06-2015,Hindalco,RCPT0000000108,DGH/15000656,09-06-2015,MRN-671,30-06-2015,INR,COPPER WIRE / ROD,KG,3001.00,1342254.27,1500.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,167782.00,0.00,0.00,0.00,60401.00,0.00,15100.00,0.00,1584036.77
PB0000442,11-06-2015,CBS TECHNOLOGIES PVT. LTD.,,672/MRN-672,09-06-2015,,,INR,CENTRIFUGAL OIL CLEANING ASSEMBLY,PCS,1.00,80000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10000.00,0.00,0.00,11250.00,0.00,1350.00,0.00,0.00,102600.00
PB0000443,11-06-2015,Hindalco,RCPT0000000045,DCR/15001581,09-06-2015,MRN-673,10-06-2015,INR,COPPER WIRE / ROD,KG,5983.00,2564750.56,0.00,0.00,0.00,28853.00,0.00,0.00,0.00,0.00,320594.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2914197.56
PB0000444,11-06-2015,Hindalco,RCPT0000000046,DCR/15001582,09-06-2015,MRN-674,10-06-2015,INR,COPPER WIRE / ROD,KG,2991.00,1282160.94,0.00,0.00,0.00,14424.00,0.00,0.00,0.00,0.00,160270.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1456854.94
PB0000445,11-06-2015,Hindalco,RCPT0000000047,DCR/15001590,09-06-2015,MRN-675,10-06-2015,INR,COPPER WIRE / ROD,KG,3003.00,1287305.02,0.00,0.00,0.00,14482.00,0.00,0.00,0.00,0.00,160913.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1462700.02
PB0000446,13-06-2015,JVC Industrial Corporation,,162 /MRN-625,03-06-2015,,,INR,BATTERY,PCS,1.00,657.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.00,0.00,10.00,0.00,0.00,749.89
PB0000447,13-06-2015,Savitri Enterprises,,328 MRN-626,03-06-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,72749.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2910.00,0.00,727.00,0.00,76386.00
PB0000448,13-06-2015,Savitri Enterprises,,329 /MRN-627,03-06-2015,,,INR,MISC. BUILDING MATERIALS,KG,20.00,1300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,163.00,0.00,20.00,0.00,0.00,1483.00
PB0000449,13-06-2015,Arvind Bearing & Mill Store,RCPT0000000053,607,03-06-2015,MRN-628,03-06-2015,INR,BEARING 6200 2Z,PCS,4.00,383.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,4.00,0.00,402.60
PB0000450,13-06-2015,VIKAS SPOOL PVT. LTD. (SUPPLIER),RCPT0000000121,560,09-06-2015,MRN-677,10-06-2015,INR,PLAS SPOOL PT- 45,PCS,360.00,75600.00,0.00,0.00,0.00,0.00,1701.00,0.00,0.00,0.00,9450.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86751.00
,,,,,,,,,PLAS SPOOL PT-10,PCS,1000.00,35500.00,0.00,0.00,0.00,0.00,799.00,0.00,0.00,0.00,4438.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40737.00
PB0000451,02-06-2015,VIKAS SPOOL PVT. LTD. (SUPPLIER),RCPT0000000122,561,09-06-2015,MRN-680,10-06-2015,INR,PLAS SPOOL PT- 90,PCS,100.00,75000.00,0.00,0.00,0.00,0.00,1688.00,0.00,0.00,0.00,9375.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86063.00
PB0000452,02-06-2015,SSK CHEMICALS PVT. LTD.,RCPT0000000036,101,10-06-2015,MRN-681,10-06-2015,INR,VAR-HIGH SPEED,KG,3150.00,283500.00,0.00,0.00,0.00,0.00,6379.00,0.00,0.00,0.00,35438.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,325317.00
PB0000453,09-06-2015,Hindalco,RCPT0000000109,DGH/15000662,11-06-2015,MRN-685,11-06-2015,INR,COPPER WIRE / ROD,KG,5900.00,2638887.10,2950.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,329861.00,0.00,0.00,0.00,118750.00,0.00,29687.00,0.00,3114235.10
PB0000454,11-06-2015,Hindalco,RCPT0000000110,DGH/15000660,11-06-2015,MRN-686,11-06-2015,INR,COPPER WIRE / ROD,KG,2949.00,1318996.28,1474.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,164875.00,0.00,0.00,0.00,59355.00,0.00,14839.00,0.00,1556590.78
PB0000455,11-06-2015,Hindalco,RCPT0000000111,DGH/15000661,11-06-2015,MRN-687,11-06-2015,INR,COPPER WIRE / ROD,KG,2970.00,1265220.00,1485.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158153.00,0.00,0.00,0.00,56935.00,0.00,14234.00,0.00,1493057.00
PB0000456,11-06-2015,Sealwell,RCPT0000000054,241,09-06-2015,MRN-688,11-06-2015,INR,FELT 50X30X8 DENSITY 0.28GM/CM3,KG,12.00,11100.00,0.00,0.00,0.00,0.00,222.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11322.00
PB0000457,13-06-2015,Hindalco,RCPT0000000112,DGH/15000675,12-06-2015,MRN-696,12-06-2015,INR,COPPER WIRE / ROD,KG,3009.00,1281834.00,1504.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160229.00,0.00,0.00,0.00,57683.00,0.00,14421.00,0.00,1512662.50
PB0000458,13-06-2015,Hindalco,RCPT0000000113,DGH/15000676,12-06-2015,MRN-697,12-06-2015,INR,COPPER WIRE / ROD,KG,3016.00,1284816.00,1508.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160602.00,0.00,0.00,0.00,57817.00,0.00,14454.00,0.00,1516181.00
PB0000459,13-06-2015,Hindalco,RCPT0000000114,DGH/15000677,12-06-2015,MRN-700,12-06-2015,INR,COPPER WIRE / ROD,KG,6000.00,2556000.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,319500.00,0.00,0.00,0.00,115020.00,0.00,28755.00,0.00,3016275.00
PB0000460,13-06-2015,Bharat Box Company,RCPT0000000123,100,12-06-2015,MRN-701,12-06-2015,INR,"CORRUGATED BOX - PT-25- 9.25X 9.25X 11.25"" 3PLY",PCS,1967.00,21637.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,865.00,0.00,216.00,0.00,22718.00
,,,,,,,,,"CORRUGATED BOX PT- 45, 10.50X10.50X16.50- 3 PLY",PCS,495.00,7177.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,287.00,0.00,72.00,0.00,7536.50
PB0000461,15-06-2015,Savitri Enterprises,,356/ MRN-684,11-06-2015,,,INR,MISC. BUILDING MATERIALS,KG,48.00,5760.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.00,0.00,58.00,0.00,6048.00
PB0000462,16-06-2015,Ashoka Enterprises (India ),,056/MRN-698,11-06-2015,,,INR,WIRES & CABLE,M,1500.00,17259.00,0.00,0.00,0.00,0.00,381.00,0.00,0.00,0.00,1791.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19431.00
PB0000463,16-06-2015,Ashoka Enterprises (India ),,055/MRN-699,11-06-2015,,,INR,WIRES & CABLE,M,1900.00,24283.90,0.00,0.00,0.00,0.00,538.00,0.00,0.00,0.00,2596.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27417.90
PB0000464,16-06-2015,Wirex Dies & Steel (I) Pvt. Ltd.,RCPT0000000055,111,12-06-2015,MRN-705,13-06-2015,INR,COOLANT FOR COPPER FWD,L,615.00,135300.00,0.00,0.00,0.00,0.00,2991.00,0.00,0.00,0.00,14274.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152565.00
,,,,,,,,,COOLANT FOR COPPER RBD,L,1640.00,328000.00,0.00,0.00,0.00,0.00,7220.00,0.00,0.00,0.00,32997.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,368217.00
PB0000465,16-06-2015,Hindalco,RCPT0000000115,DGH/15000684,13-06-2015,MRN-707,13-06-2015,INR,COPPER WIRE / ROD,KG,5990.00,2551740.00,2995.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,318968.00,0.00,0.00,0.00,114828.00,0.00,28707.00,0.00,3011248.00
PB0000466,16-06-2015,Hindalco,RCPT0000000116,DGH/15000687,13-06-2015,MRN-708,13-06-2015,INR,COPPER WIRE / ROD,KG,5968.00,2542368.00,2984.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,317796.00,0.00,0.00,0.00,114407.00,0.00,28602.00,0.00,3000189.00
PB0000467,16-06-2015,Hindalco,RCPT0000000117,DGH/15000688,13-06-2015,MRN-712,13-06-2015,INR,COPPER WIRE / ROD,KG,5970.00,2543220.00,2985.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,317903.00,0.00,0.00,0.00,114445.00,0.00,28611.00,0.00,3001194.00
PB0000468,16-06-2015,Hindalco,RCPT0000000118,DGH/15000690,13-06-2015,MRN-715,13-06-2015,INR,COPPER WIRE / ROD,KG,5971.00,2543646.00,2985.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,317956.00,0.00,0.00,0.00,114464.00,0.00,28616.00,0.00,3001696.50
PB0000469,16-06-2015,Hindalco,RCPT0000000119,DGH/15000697,15-06-2015,MRN-720,30-06-2015,INR,COPPER WIRE / ROD,KG,5971.00,2543646.00,2985.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,317956.00,0.00,0.00,0.00,114464.00,0.00,28616.00,0.00,3001696.50
PB0000470,16-06-2015,Hindalco,RCPT0000000120,DGH/15000698,15-06-2015,MRN-724,15-06-2015,INR,COPPER WIRE / ROD,KG,5973.00,2544498.00,2986.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,318062.00,0.00,0.00,0.00,114502.00,0.00,28626.00,0.00,3002701.50
PB0000471,17-06-2015,MAHESH PAINTS & HARDWARE STORE,,285/MRN-719,15-06-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,430.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,0.00,6.00,0.00,0.00,490.00
PB0000472,17-06-2015,MAHESH PAINTS & HARDWARE STORE,,289/MRN-727,15-06-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,3111.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,389.00,0.00,47.00,0.00,0.00,3547.00
PB0000473,17-06-2015,MAHESH PAINTS & HARDWARE STORE,,290/MRN-728,15-06-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,20.00,0.00,2100.00
PB0000474,17-06-2015,Bharat Petroleum Corporation Ltd.,RCPT0000000056,1102150265,13-06-2015,MRN-716,13-06-2015,INR,HIGH SPEED DIESAL ( HSD ),L,12000.00,573678.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22947.00,0.00,5737.00,0.00,602362.00
PB0000475,17-06-2015,Ram Saran Dass Suresh Chand,,170/MRN-682,10-06-2015,,,INR,MS PIPE,KG,140.20,7144.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7144.87
PB0000476,17-06-2015,AGNI SURAKSHA MARKETING SERVICES,,2241/MRN-691,11-06-2015,,,INR,FIRE EXTINGUISHERS,PCS,25.00,19050.00,0.00,0.00,0.00,0.00,381.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19431.00
PB0000477,17-06-2015,LAXMAN SHARMA (SUPPLIERT),RCPT0000000124,29,13-06-2015,MRN-706,13-06-2015,INR,WOODEN BOX 38*29*27,PCS,10.00,9700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9700.00
PB0000478,17-06-2015,Bharat Box Company,RCPT0000000125,102,16-06-2015,MRN-731,16-06-2015,INR,"CORRUGATED BOX-PT10-14.75""X7.5""X9.5""",PCS,300.00,7500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00,75.00,0.00,7875.00
PB0000479,17-06-2015,Micro Inks Limited,RCPT0000000057,9284,12-06-2015,MRN-733,16-06-2015,INR,BASE COAT THINNER,KG,360.00,42120.00,0.00,0.00,0.00,0.00,948.00,0.00,0.00,0.00,5265.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48333.00
,,,,,,,,,TOP COAT THINNER,KG,180.00,39960.00,0.00,0.00,0.00,0.00,899.00,0.00,0.00,0.00,4995.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45854.00
